Run,Efficiency_Gap,Party 0_Wasted,Party 1_Wasted
1,0.015375999999999999,0.305,0.429
2,9.000000000000015e-06,0.358,0.355
3,0.015375999999999999,0.303,0.427
4,0.015375999999999999,0.306,0.43
5,0.015375999999999999,0.303,0.427
6,0.015375999999999999,0.304,0.428
7,9.000000000000015e-06,0.371,0.368
8,9.000000000000015e-06,0.365,0.362
9,0.015375999999999999,0.294,0.418
10,9.000000000000015e-06,0.369,0.366
11,0.015375999999999999,0.281,0.405
12,9.000000000000015e-06,0.367,0.364
13,0.015375999999999999,0.302,0.426
14,9.000000000000015e-06,0.369,0.366
15,0.015375999999999999,0.302,0.426
16,0.015375999999999999,0.297,0.421
17,9.000000000000015e-06,0.372,0.369
18,0.015375999999999999,0.302,0.426
19,9.000000000000015e-06,0.366,0.363
20,9.000000000000015e-06,0.371,0.368
21,0.015375999999999999,0.302,0.426
22,0.015375999999999999,0.307,0.431
23,0.015375999999999999,0.309,0.433
24,0.015375999999999999,0.287,0.411
25,0.015375999999999999,0.289,0.413
26,0.015375999999999999,0.305,0.429
27,9.000000000000015e-06,0.364,0.361
28,9.000000000000015e-06,0.368,0.365
29,9.000000000000015e-06,0.354,0.351
30,0.015375999999999999,0.306,0.43
31,0.015375999999999999,0.302,0.426
32,0.015375999999999999,0.308,0.432
33,9.000000000000015e-06,0.366,0.363
34,9.000000000000015e-06,0.38,0.377
35,9.000000000000015e-06,0.356,0.353
36,0.015375999999999999,0.303,0.427
37,0.015375999999999999,0.305,0.429
38,9.000000000000015e-06,0.369,0.366
39,0.015375999999999999,0.306,0.43
40,9.000000000000015e-06,0.372,0.369
41,9.000000000000015e-06,0.364,0.361
42,0.015375999999999999,0.304,0.428
43,0.015375999999999999,0.301,0.425
44,9.000000000000015e-06,0.366,0.363
45,0.015375999999999999,0.304,0.428
46,9.000000000000015e-06,0.37,0.367
47,0.015375999999999999,0.303,0.427
48,9.000000000000015e-06,0.373,0.37
49,9.000000000000015e-06,0.364,0.361
50,9.000000000000015e-06,0.36,0.357
51,9.000000000000015e-06,0.371,0.368
52,9.000000000000015e-06,0.366,0.363
53,0.015375999999999999,0.303,0.427
54,0.015375999999999999,0.301,0.425
55,0.015375999999999999,0.304,0.428
56,9.000000000000015e-06,0.368,0.365
57,9.000000000000015e-06,0.379,0.376
58,9.000000000000015e-06,0.369,0.366
59,9.000000000000015e-06,0.347,0.344
60,9.000000000000015e-06,0.368,0.365
61,9.000000000000015e-06,0.376,0.373
62,9.000000000000015e-06,0.364,0.361
63,0.015375999999999999,0.303,0.427
64,9.000000000000015e-06,0.356,0.353
65,9.000000000000015e-06,0.374,0.371
66,9.000000000000015e-06,0.367,0.364
67,9.000000000000015e-06,0.356,0.353
68,0.015375999999999999,0.305,0.429
69,9.000000000000015e-06,0.352,0.349
70,0.015375999999999999,0.283,0.407
71,9.000000000000015e-06,0.371,0.368
72,0.015375999999999999,0.304,0.428
