Run,Efficiency_Gap,Party 0_Wasted,Party 1_Wasted,Party 2_Wasted,Party 3_Wasted
1,0.308755,0.305,0.303,0.036,0.017
2,0.308875,0.308,0.3,0.036,0.017
3,0.29787499999999995,0.303,0.295,0.036,0.017
4,0.31772300000000003,0.31,0.306,0.036,0.017
5,0.32559499999999997,0.358,0.24,0.036,0.017
6,0.31772300000000003,0.31,0.306,0.036,0.017
7,0.300219,0.306,0.294,0.036,0.017
8,0.291371,0.3,0.292,0.036,0.017
9,0.31666399999999995,0.311,0.304,0.036,0.017
10,0.31306399999999995,0.242,0.349,0.036,0.017
11,0.30768799999999996,0.306,0.301,0.036,0.017
12,0.31213599999999997,0.308,0.303,0.036,0.017
13,0.29464799999999997,0.302,0.293,0.036,0.017
14,0.314372,0.309,0.304,0.036,0.017
15,0.31306399999999995,0.242,0.349,0.036,0.017
16,0.293411,0.298,0.296,0.036,0.017
17,0.32112799999999997,0.312,0.307,0.036,0.017
18,0.352715,0.373,0.245,0.036,0.017
19,0.316616,0.31,0.305,0.036,0.017
20,0.299939,0.301,0.299,0.036,0.017
21,0.31241899999999995,0.241,0.349,0.036,0.017
22,0.30102799999999996,0.3,0.301,0.036,0.017
23,0.315571,0.311,0.303,0.036,0.017
24,0.29682,0.303,0.294,0.036,0.017
25,0.316616,0.31,0.305,0.036,0.017
26,0.33607499999999996,0.365,0.239,0.036,0.017
27,0.29493600000000003,0.305,0.29,0.036,0.017
28,0.31241899999999995,0.241,0.349,0.036,0.017
29,0.303224,0.301,0.302,0.036,0.017
30,0.31658400000000003,0.309,0.306,0.036,0.017
31,0.31241899999999995,0.241,0.349,0.036,0.017
32,0.313235,0.308,0.304,0.036,0.017
33,0.31327499999999997,0.309,0.303,0.036,0.017
34,0.3398959999999999,0.367,0.24,0.036,0.017
35,0.311043,0.308,0.302,0.036,0.017
36,0.31241899999999995,0.241,0.349,0.036,0.017
37,0.345211,0.368,0.246,0.036,0.017
38,0.29241999999999996,0.3,0.293,0.036,0.017
39,0.311099,0.309,0.301,0.036,0.017
40,0.346824,0.369,0.246,0.036,0.017
41,0.31241899999999995,0.241,0.349,0.036,0.017
42,0.290328,0.3,0.291,0.036,0.017
43,0.30112399999999995,0.304,0.297,0.036,0.017
44,0.308947,0.309,0.299,0.036,0.017
45,0.29666,0.298,0.299,0.036,0.017
46,0.31306399999999995,0.242,0.349,0.036,0.017
47,0.29144299999999995,0.301,0.291,0.036,0.017
48,0.293603,0.302,0.292,0.036,0.017
49,0.309908,0.307,0.302,0.036,0.017
50,0.290616,0.303,0.288,0.036,0.017
51,0.297747,0.299,0.299,0.036,0.017
52,0.33547999999999994,0.365,0.238,0.036,0.017
53,0.291635,0.303,0.289,0.036,0.017
54,0.31002,0.309,0.3,0.036,0.017
55,0.330088,0.362,0.237,0.036,0.017
56,0.311043,0.308,0.302,0.036,0.017
57,0.33250399999999997,0.362,0.241,0.036,0.017
58,0.294728,0.303,0.292,0.036,0.017
59,0.302155,0.303,0.299,0.036,0.017
60,0.334472,0.364,0.239,0.036,0.017
61,0.30768799999999996,0.306,0.301,0.036,0.017
62,0.31241899999999995,0.241,0.349,0.036,0.017
63,0.318868,0.311,0.306,0.036,0.017
64,0.33030799999999993,0.361,0.24,0.036,0.017
65,0.31306399999999995,0.242,0.349,0.036,0.017
66,0.29787499999999995,0.303,0.295,0.036,0.017
67,0.297747,0.299,0.299,0.036,0.017
68,0.299931,0.3,0.3,0.036,0.017
69,0.31241899999999995,0.241,0.349,0.036,0.017
70,0.30104400000000003,0.302,0.299,0.036,0.017
71,0.315515,0.31,0.304,0.036,0.017
72,0.30552399999999996,0.306,0.299,0.036,0.017
73,0.30547599999999997,0.305,0.3,0.036,0.017
74,0.334891,0.365,0.237,0.036,0.017
75,0.302195,0.304,0.298,0.036,0.017
76,0.306731,0.308,0.298,0.036,0.017
77,0.314372,0.309,0.304,0.036,0.017
78,0.31241899999999995,0.241,0.349,0.036,0.017
79,0.298888,0.302,0.297,0.036,0.017
80,0.31333099999999997,0.31,0.302,0.036,0.017
81,0.31306399999999995,0.242,0.349,0.036,0.017
82,0.31241899999999995,0.241,0.349,0.036,0.017
83,0.35209999999999997,0.373,0.244,0.036,0.017
84,0.291251,0.297,0.295,0.036,0.017
85,0.30665899999999996,0.307,0.299,0.036,0.017
86,0.301188,0.305,0.296,0.036,0.017
87,0.311003,0.307,0.303,0.036,0.017
88,0.351336,0.371,0.248,0.036,0.017
89,0.341368,0.366,0.245,0.036,0.017
90,0.29248399999999997,0.301,0.292,0.036,0.017
91,0.32455500000000004,0.314,0.308,0.036,0.017
92,0.337283,0.365,0.241,0.036,0.017
93,0.30660299999999996,0.306,0.3,0.036,0.017
94,0.31306399999999995,0.242,0.349,0.036,0.017
95,0.30552399999999996,0.306,0.299,0.036,0.017
96,0.340499,0.367,0.241,0.036,0.017
97,0.293915,0.305,0.289,0.036,0.017
98,0.36080300000000004,0.376,0.25,0.036,0.017
99,0.303272,0.304,0.299,0.036,0.017
100,0.307656,0.305,0.302,0.036,0.017
101,0.295643,0.301,0.295,0.036,0.017
102,0.30547599999999997,0.305,0.3,0.036,0.017
103,0.318868,0.311,0.306,0.036,0.017
104,0.33470799999999995,0.363,0.242,0.036,0.017
105,0.32280799999999993,0.357,0.238,0.036,0.017
106,0.311043,0.308,0.302,0.036,0.017
107,0.335684,0.364,0.241,0.036,0.017
108,0.292324,0.297,0.296,0.036,0.017
109,0.309876,0.306,0.303,0.036,0.017
110,0.342116,0.368,0.241,0.036,0.017
111,0.308819,0.307,0.301,0.036,0.017
112,0.347816,0.37,0.245,0.036,0.017
113,0.30338399999999993,0.306,0.297,0.036,0.017
114,0.304395,0.305,0.299,0.036,0.017
115,0.315475,0.309,0.305,0.036,0.017
116,0.319979,0.311,0.307,0.036,0.017
117,0.334891,0.365,0.237,0.036,0.017
118,0.333875,0.364,0.238,0.036,0.017
119,0.336595,0.363,0.245,0.036,0.017
120,0.304395,0.305,0.299,0.036,0.017
121,0.304355,0.304,0.3,0.036,0.017
122,0.324744,0.359,0.236,0.036,0.017
123,0.29040799999999994,0.301,0.29,0.036,0.017
124,0.33030799999999993,0.361,0.24,0.036,0.017
125,0.32683500000000004,0.315,0.309,0.036,0.017
126,0.31241899999999995,0.241,0.349,0.036,0.017
127,0.29464799999999997,0.302,0.293,0.036,0.017
128,0.31442,0.31,0.303,0.036,0.017
129,0.32112799999999997,0.312,0.307,0.036,0.017
130,0.31241899999999995,0.241,0.349,0.036,0.017
131,0.311003,0.307,0.303,0.036,0.017
132,0.31658400000000003,0.309,0.306,0.036,0.017
133,0.33949899999999994,0.366,0.242,0.036,0.017
134,0.31213599999999997,0.308,0.303,0.036,0.017
135,0.293603,0.302,0.292,0.036,0.017
136,0.346824,0.369,0.246,0.036,0.017
137,0.33212,0.364,0.235,0.036,0.017
138,0.291371,0.3,0.292,0.036,0.017
139,0.34418,0.37,0.239,0.036,0.017
140,0.32515499999999997,0.36,0.234,0.036,0.017
141,0.299931,0.3,0.3,0.036,0.017
142,0.302195,0.304,0.298,0.036,0.017
143,0.33828299999999994,0.366,0.24,0.036,0.017
144,0.291251,0.297,0.295,0.036,0.017
145,0.31241899999999995,0.241,0.349,0.036,0.017
146,0.30338399999999993,0.306,0.297,0.036,0.017
147,0.31218399999999996,0.309,0.302,0.036,0.017
148,0.311003,0.307,0.303,0.036,0.017
149,0.299963,0.302,0.298,0.036,0.017
150,0.291315,0.299,0.293,0.036,0.017
151,0.31241899999999995,0.241,0.349,0.036,0.017
152,0.303272,0.304,0.299,0.036,0.017
153,0.34495500000000007,0.369,0.243,0.036,0.017
154,0.30107599999999995,0.303,0.298,0.036,0.017
155,0.295603,0.3,0.296,0.036,0.017
156,0.3429709999999999,0.367,0.245,0.036,0.017
157,0.304395,0.305,0.299,0.036,0.017
158,0.31327499999999997,0.309,0.303,0.036,0.017
159,0.31666399999999995,0.311,0.304,0.036,0.017
160,0.33592299999999997,0.366,0.236,0.036,0.017
161,0.3101,0.31,0.299,0.036,0.017
162,0.337684,0.366,0.239,0.036,0.017
163,0.330515,0.363,0.235,0.036,0.017
164,0.30112399999999995,0.304,0.297,0.036,0.017
165,0.3398959999999999,0.367,0.24,0.036,0.017
166,0.31327499999999997,0.309,0.303,0.036,0.017
167,0.33470799999999995,0.363,0.242,0.036,0.017
168,0.322243,0.312,0.308,0.036,0.017
169,0.342344,0.367,0.244,0.036,0.017
170,0.29040799999999994,0.301,0.29,0.036,0.017
171,0.34944299999999995,0.371,0.245,0.036,0.017
172,0.334472,0.364,0.239,0.036,0.017
173,0.304355,0.304,0.3,0.036,0.017
174,0.303272,0.304,0.299,0.036,0.017
175,0.31306399999999995,0.242,0.349,0.036,0.017
176,0.33470799999999995,0.363,0.242,0.036,0.017
177,0.308819,0.307,0.301,0.036,0.017
178,0.291251,0.297,0.295,0.036,0.017
179,0.3508879999999999,0.373,0.242,0.036,0.017
180,0.31327499999999997,0.309,0.303,0.036,0.017
181,0.292772,0.304,0.289,0.036,0.017
182,0.31776299999999996,0.311,0.305,0.036,0.017
183,0.31218399999999996,0.309,0.302,0.036,0.017
184,0.30768799999999996,0.306,0.301,0.036,0.017
185,0.297755,0.3,0.298,0.036,0.017
186,0.298139,0.306,0.292,0.036,0.017
187,0.35107599999999994,0.372,0.245,0.036,0.017
