Run,Comparison,Area_Gap
1,Party 0 vs Party 1,0.08175
1,Party 0 vs Party 2,0.0701
1,Party 1 vs Party 2,0.04445
2,Party 0 vs Party 1,0.0826
2,Party 0 vs Party 2,0.06355
2,Party 1 vs Party 2,0.05645
3,Party 0 vs Party 1,0.087
3,Party 0 vs Party 2,0.02915
3,Party 1 vs Party 2,0.06365
4,Party 0 vs Party 1,0.0837
4,Party 0 vs Party 2,0.06035
4,Party 1 vs Party 2,0.03695
5,Party 0 vs Party 1,0.07905
5,Party 0 vs Party 2,0.02965
5,Party 1 vs Party 2,0.065
6,Party 0 vs Party 1,0.09395
6,Party 0 vs Party 2,0.0461
6,Party 1 vs Party 2,0.07455
7,Party 0 vs Party 1,0.0933
7,Party 0 vs Party 2,0.06485
7,Party 1 vs Party 2,0.04945
8,Party 0 vs Party 1,0.10285
8,Party 0 vs Party 2,0.0736
8,Party 1 vs Party 2,0.05255
9,Party 0 vs Party 1,0.0945
9,Party 0 vs Party 2,0.0671
9,Party 1 vs Party 2,0.0705
10,Party 0 vs Party 1,0.0786
10,Party 0 vs Party 2,0.0249
10,Party 1 vs Party 2,0.072
